
Smileys and people

🖐🏽; Raised hand with fingers splayed; U+1F590 U+1F3FD; UTF-8: F0 9F 96 90 F0 9F 8F BD
🖐🏾; Raised hand with fingers splayed; U+1F590 U+1F3FE; UTF-8: F0 9F 96 90 F0 9F 8F BE
🖐🏿; Raised hand with fingers splayed; U+1F590 U+1F3FF; UTF-8: F0 9F 96 90 F0 9F 8F BF
🤘; Sign of the horns; U+1F918; UTF-8: F0 9F A4 98
🤘🏻; Sign of the horns; U+1F918 U+1F3FB; UTF-8: F0 9F A4 98 F0 9F 8F BB
🤘🏼; Sign of the horns; U+1F918 U+1F3FC; UTF-8: F0 9F A4 98 F0 9F 8F BC
🤘🏽; Sign of the horns; U+1F918 U+1F3FD; UTF-8: F0 9F A4 98 F0 9F 8F BD
🤘🏾; Sign of the horns; U+1F918 U+1F3FE; UTF-8: F0 9F A4 98 F0 9F 8F BE
🤘🏿; Sign of the horns; U+1F918 U+1F3FF; UTF-8: F0 9F A4 98 F0 9F 8F BF
🖖; Raised hand with part between middle and ring fingers; U+1F596; UTF-8: F0 9F 96 96
🖖🏻; Raised hand with part between middle and ring fingers; U+1F596 U+1F3FB; UTF-8: F0 9F 96 96 F0 9F 8F BB
🖖🏼; Raised hand with part between middle and ring fingers; U+1F596 U+1F3FC; UTF-8: F0 9F 96 96 F0 9F 8F BC
🖖🏼; Raised hand with part between middle and ring fingers; U+1F596 U+1F3FC; UTF-8: F0 9F 96 96 F0 9F 8F BC
🖖🏾; Raised hand with part between middle and ring fingers; U+1F596 U+1F3FE; UTF-8: F0 9F 96 96 F0 9F 8F BE
🖖🏿; Raised hand with part between middle and ring fingers; U+1F596 U+1F3FF; UTF-8: F0 9F 96 96 F0 9F 8F BF
✍️; Writing hand; U+270D U+FE0F; UTF-8: E2 9C 8D EF B8 8F
✍🏻; Writing hand; U+270D U+1F3FB; UTF-8: E2 9C 8D F0 9F 8F BB
✍🏼; Writing hand; U+270D U+1F3FC; UTF-8: E2 9C 8D F0 9F 8F BC
